Name,Image,Known For
Kimon Dimopoulos,,"Known for Miss Manager, Mikes Is Getting Married, and The despised"
Sydney Sweeney,"<img src=""https://image.tmdb.org/t/p/w500/qYiaSl0Eb7G3VaxOg8PxExCFwon.jpg"" width=""300"">","Known for Echo Valley, The Voyeurs, and Anyone But You"
Jason Statham,"<img src=""https://image.tmdb.org/t/p/w500/whNwkEQYWLFJA8ij0WyOOAD5xhQ.jpg"" width=""300"">","Known for A Working Man, Fast & Furious Presents: Hobbs & Shaw, and Fast X"
Scarlett Johansson,"<img src=""https://image.tmdb.org/t/p/w500/6NsMbJXRlDZuDzatN2akFdGuTvx.jpg"" width=""300"">","Known for Avengers: Infinity War, Jurassic World Rebirth, and The Avengers"
Henry Cavill,"<img src=""https://image.tmdb.org/t/p/w500/kN3A5oLgtKYAxa9lAkpsIGYKYVo.jpg"" width=""300"">","Known for Deadpool & Wolverine, Mission: Impossible - Fallout, and Justice League"
Nora Kirkpatrick,"<img src=""https://image.tmdb.org/t/p/w500/5bvP09h26AxkKRWeCVAHtvB5xfq.jpg"" width=""300"">","Known for Sandy Wexler, How to Make Love to a Woman, and The Babymoon"
Pedro Pascal,"<img src=""https://image.tmdb.org/t/p/w500/9VYK7oxcqhjd5LAH6ZFJ3XzOlID.jpg"" width=""300"">","Known for The Wild Robot, Materialists, and Gladiator II"
Ana de Armas,"<img src=""https://image.tmdb.org/t/p/w500/3vxvsmYLTf4jnr163SUlBIw51ee.jpg"" width=""300"">","Known for Ballerina, Blade Runner 2049, and Blonde"
Johnny Depp,"<img src=""https://image.tmdb.org/t/p/w500/wcI594cwM4ArPwvRd2IU0Z0yLuh.jpg"" width=""300"">","Known for Pirates of the Caribbean: The Curse of the Black Pearl, Pirates of the Caribbean: Dead Man's Chest, and Charlie and the Chocolate Factory"
Jenna Ortega,"<img src=""https://image.tmdb.org/t/p/w500/7oUAtVgZU0uLdUSvDHKkINt1y7Y.jpg"" width=""300"">","Known for Death of a Unicorn, Hurry Up Tomorrow, and Beetlejuice Beetlejuice"
Keanu Reeves,"<img src=""https://image.tmdb.org/t/p/w500/8RZLOyYGsoRe9p44q3xin9QkMHv.jpg"" width=""300"">","Known for Ballerina, Sonic the Hedgehog 3, and John Wick: Chapter 4"
Tom Cruise,"<img src=""https://image.tmdb.org/t/p/w500/eOh4ubpOm2Igdg0QH2ghj0mFtC.jpg"" width=""300"">","Known for Mission: Impossible - The Final Reckoning, Mission: Impossible - Fallout, and Mission: Impossible - Dead Reckoning Part One"
Alexandra Daddario,"<img src=""https://image.tmdb.org/t/p/w500/lh5zibQXYH1MNqkuX8TmxyNYHhK.jpg"" width=""300"">","Known for Baywatch, Percy Jackson & the Olympians: The Lightning Thief, and San Andreas"
Gary Oldman,"<img src=""https://image.tmdb.org/t/p/w500/2v9FVVBUrrkW2m3QOcYkuhq9A6o.jpg"" width=""300"">","Known for Oppenheimer, Harry Potter and the Goblet of Fire, and Harry Potter and the Prisoner of Azkaban"
Hande Erçel,"<img src=""https://image.tmdb.org/t/p/w500/jrUvWNqOpfDm3D0KhbuRwQOy8Nu.jpg"" width=""300"">",Known for Chasing the Wind and Intoxicated by Love
Emma Watson,"<img src=""https://image.tmdb.org/t/p/w500/A14lLCZYDhfYdBa0fFRpwMDiwRN.jpg"" width=""300"">","Known for Harry Potter and the Philosopher's Stone, Harry Potter and the Chamber of Secrets, and Harry Potter and the Goblet of Fire"
Monica Bellucci,"<img src=""https://image.tmdb.org/t/p/w500/euhMjVgdEGFm4AzjvB1b2oSMlLU.jpg"" width=""300"">","Known for Spectre, Beetlejuice Beetlejuice, and Malena"
Sandra Bullock,"<img src=""https://image.tmdb.org/t/p/w500/hPHGKPAWZ8gArYXMk225rrYPoyJ.jpg"" width=""300"">","Known for Bird Box, Bullet Train, and The Proposal"
Kevin Costner,"<img src=""https://image.tmdb.org/t/p/w500/bykmxJHLfbFM3NT05RZXhx8YTzF.jpg"" width=""300"">","Known for Batman v Superman: Dawn of Justice, Man of Steel, and Zack Snyder's Justice League"
Dakota Johnson,"<img src=""https://image.tmdb.org/t/p/w500/qFek0KqpaPV5mVyHHNfAapDE9Tj.jpg"" width=""300"">","Known for Materialists, Fifty Shades of Grey, and Fifty Shades Freed"
